policy,difficulty,n_episodes,fall_rate,survival_s,distance_m
dr-default,0.0,90,0.0,10.0,1.984
dr-default,0.05,90,0.0,10.0,2.0
dr-default,0.1,90,0.0,10.0,2.013
dr-default,0.2,90,0.0,10.0,2.015
dr-default,0.4,90,0.0333,9.876,1.941
dr-off,0.0,90,0.2333,8.384,1.307
dr-off,0.05,90,0.7556,5.608,0.783
dr-off,0.1,90,0.8778,4.517,0.604
dr-off,0.2,90,1.0,2.961,0.421
dr-off,0.4,90,1.0,1.523,0.226
terrain-bumpy,0.0,90,0.0,10.0,1.611
terrain-bumpy,0.05,90,0.0,10.0,1.698
terrain-bumpy,0.1,90,0.0,10.0,1.702
terrain-bumpy,0.2,90,0.0,10.0,1.664
terrain-bumpy,0.4,90,0.0,10.0,1.614
terrain-smooth,0.0,60,0.0,10.0,1.426
terrain-smooth,0.05,60,0.0,10.0,1.441
terrain-smooth,0.1,60,0.0,10.0,1.438
terrain-smooth,0.2,60,0.0,10.0,1.445
terrain-smooth,0.4,60,0.0,10.0,1.464
